"Country","Happiness_Rank","Happiness_Score","Adolescent fertility rate (births per 1,000 women ages 15-19)","Average precipitation in depth (mm per year)","Business extent of disclosure index (0=less to 10=more)","Cost of business start-up procedures (% of GNI per capita)","Cost to export (US$ per container)","DEC alternative conversion factor (LCU per US$)","Depth of credit information index (0=low to 8=high)","Diabetes prevalence (% of pop. ages 20 to 79)","Documents to export (number)","Documents to import (number)","Ease of doing business index (1=most business-friendly regulations)","Fixed telephone subscriptions","Fixed telephone subscriptions (per 100 people)","Immunization, measles (% of children ages 12-23 months)","Improved sanitation facilities (% of pop.)","Improved water source (% of pop.)","Improved water source, urban (% of urban pop.)","Incidence of tuberculosis (per 100,000 people)","Internet users (per 100 people)","Labor force particip. rate for ages 15-24, female (%)","Labor force particip. rate for ages 15-24, male (%)","Labor force particip. rate, male (% of male pop. ages 15-64)","Labor force particip. rate, male (% of male pop. ages 15+)","Labor force particip. rate, total (% of ttl. pop. ages 15-64)","Labor force particip. rate, total (% of ttl. pop. ages 15+)","Lifetime risk of maternal death (%)","Lifetime risk of maternal death (1 in: rate varies by country)","Merchandies imports by economy, residual (%of ttl.)","Merchandise exports by economy (current US$)","Merchandise exports by economy, residual (% of ttl.)","Merchandise imports by economy (current US$)","Merchandise imports from high-income economies (%of ttl.)","Mobile cellular subscriptions (per 100 people)","Mortality rate, infant (per 1,000 live births)","Number of infant deaths","Number of maternal deaths","Official entrance age to lower secondary education (years)","Official entrance age to primary education (years)","Population ages 65 and above (% of ttl.)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, ages 0-14 (% of ttl.)","Population, ages 15-64 (% of ttl.)","Population, female (% of ttl.)","Private credit bureau coverage (% of adults)","Procedures to build a warehouse (number)","Procedures to register property (number)","Public credit registry coverage (% of adults)","Pump price for gasoline (US$ per liter)","Ratio of female to male labor force particip. rate (%)","Refugee pop. by country or territory of asylum","Refugee pop. by country or territory of origin","Rural pop.","Rural pop. growth (annual %)","Secure Internet servers","Secure Internet servers (per 1 million people)","Start-up procedures to register a business (number)","Strength of legal rights index (0=weak to 12=strong)","Surface area (sq. km)","Tax payments (number)","Theoretical duration of primary education (years)","Theoretical duration of secondary education (years)","Time required to build a warehouse (days)","Time required to enforce a contract (days)","Time required to get electricity (days)","Time required to register property (days)","Time required to start a business (days)","Time to export (days)","Time to prepare and pay taxes (hours)","Total tax rate (% of commercial profits)","Unemp., female (% of female labor force)","Unemp., male (% of male labor force)","Urban pop.","Urban pop. growth (annual %)"
"Afghanistan",153,3.575,76.7336,327,1,15.1,5045,57.4311,0,8.07,10,10,175,101931,0.325860971995413,66,31.8,55.2,78.2,189,6.39,13.3999996185303,60.7999992370605,80.8000030517578,79.3000030517578,48.9000015258789,47.7999992370605,2.15319131812495,46,7.10705255577188e-09,658401430.6,-1.55927638952624e-08,8039346601,33.7235128608378,74.8828424132874,68.1,69579,4600,13,7,2.43468454325801,48.4445455380939,3.03347255254667,44.8709961512615,52.6943193054805,48.4580889811546,0,11,9,0,1.07,20.0504401092553,280267,2593368,23315165,2.4774933646149,32,1.0117775331384,3,9,652860,20,6,6,353,1642,114,250,7,86,275,36.3,14,8.19999980926514,8312341,4.60963006738531
"Albania",95,4.959,21.4896,1485,7,10.1,745,105.4792,6,2.57,7,8,62,247070,7.75629408180352,98,93.2,95.1,94.9,19,60.1,30.8999996185303,42.2999992370605,74.1999969482422,65.599998474121,63,55.0999984741211,0.0528783697299301,1900,1.14299997420225,2329404376,7.81566797166101,5222514027,70.598928936403,105.469965746985,12.9,561,11,11,6,12.0622519618116,105.637773722628,-0.0998300968586222,18.9304268021744,69.007321236014,50.2597523044106,0,19,6,16.7,1.76,68.2926833523234,104,10140,1261731,-2.42623908809272,69,23.838519938849,6,7,28750,34,5,7,228,525,177,22,5.5,19,357,31.4,14.8000001907349,16.8999996185303,1632744,1.73576171248059
"Algeria",68,5.605,10.7914,89,4,11,1270,80.579,0,7.29,8,9,161,3092558,7.74515290874062,95,87.4,84,84.9,78,18.09,9.80000019073486,47.4000015258789,76.5,72.5,46.7999992370605,44.2000007629395,0.430674101847726,230,0.0627828974295664,53308652466,-1.82810892515735e-09,60294770575,71.2287043387535,93.3107502183817,22,21375,1300,11,6,5.80344587376273,16.3470126882027,1.94039918384128,28.2059094679775,65.9906446582597,49.6776392784836,0,18,10,2,0.27,21.2413787841797,94128,3523,11630075,-0.110668893745777,77,1.97768889535904,13,2,2381740,27,5,7,205,630,180,55,22,17,385,72.7,16.7999992370605,8,27304259,2.82697811328839
"Angola",137,4.033,166.6028,1010,4,118.8,2060,98.643,0,2.61,10,9,183,281327,1.27083020794668,85,51.1,48.6,75.4,370,21.26,49.9000015258789,55.7000007629395,77.8000030517578,76.8000030517578,71.099998474121,70,3.23117354674841,31,0.000556037994594343,58738519217,7.0473584022924e-10,27797618622,57.5653153199531,63.4792082001473,98.8,105154,5400,12,6,2.30859331725355,19.4333231731772,3.26955240572046,47.8503168544999,49.8410898282466,50.3928218170375,0,10,7,1.8,0.76,82.6822883811677,15474,9507,13743305,1.89693163168055,110,4.54029062152616,8,1,1246700,30,6,6,203,1296,145,190,66,40,282,52,7.30000019073486,6.40000009536743,10484219,5.09787908903412
"Argentina",30,6.574,63.8512,591,7,15.1,1770,8.2314,8,5.65,6,8,117,9439138,22.5799817597369,95,96.1,98.9,98.9,24,64.7,31.3999996185303,50.5,81.9000015258789,75.099998474121,68.5,60.9000015258789,0.130655156412624,770,1.08239684621481,69588619445,2.59808954063134,66464610193,49.3045755683129,158.735761979517,11.5,8723,400,12,6,10.8089836893072,15.7051131110941,1.03305555285726,25.3464271985317,63.8445891121611,51.0732566797424,100,21,7,41.2,1.52,63.382156379835,3498,318,3608603,-0.761131311665493,2266,52.7221644770527,14,2,2780400,9,6,6,341,590,92,51.5,25,12,405,137.4,9.80000019073486,7.09999990463257,39371423,1.19912436653272
"Armenia",127,4.35,23.5084,562,5,1,1885,415.9198,8,2.58,5,8,38,564476,18.9168194263386,97,89.5,100,100,45,46.3,30.6000003814697,42.4000015258789,76.4000015258789,73.099998474121,67.8000030517578,63.7999992370605,0.044836440084129,2200,0.161421485627518,1519286858,1.19063710087065,4401599931,63.5413897865222,115.923210198426,13.2,556,10,10,6,10.5795977185467,105.590235335441,0.465529171376968,18.6636812352261,70.7567210462272,52.7845213518669,65.8,20,3,23.5,1.3,74.5554051130304,3190,11850,1117929,0.904854254548831,123,40.9160675068543,2,5,29740,10,4,7,84,570,180,7,3,16,313,20.1,18.7999992370605,15.8000001907349,1888225,0.206332222369208
"Australia",10,7.284,14.405,534,8,0.7,1200,1.0893,7,4.08,5,7,12,9190000,38.8909618039549,93,100,100,100,6.4,84.56,67.099998474121,68.6999969482422,82.8000030517578,71.6999969482422,76.6999969482422,65.099998474121,0.0118280613597937,8500,3.17288290074919,2.40639e+11,3.0095321821895,2.50538e+11,55.7082047317241,131.230546848819,3.2,954,19,12,5,14.7242740805711,3.05777384377075,1.56543128326783,18.711620303024,66.5641056164049,50.0216130035818,100,10,5,0,1.23,81.8689027355371,35582,25,2516093,0.303708660620334,31679,1348.57417834843,3,11,7741220,11,7,6,112,395,75,4.5,2.5,9,105,47.4,5.90000009536743,6,20974643,1.71786099675953
"Austria",13,7.2,7.379,1110,5,0.3,1150,0.753730736717402,7,6.29,3,4,20,3266700,38.3126394414356,76,100,100,100,7.8,81,55.7000007629395,64.8000030517578,81.5,67.6999969482422,76,61,0.00546681616259022,18300,0.00622279786960842,1.71076e+11,0.076298604129159,1.79122e+11,87.6519298020344,151.911251474679,3,244,3,10,6,18.5971306984829,103.409530964123,0.647909059253162,14.2792414531269,67.1236278483902,50.9550170507728,53.2,11,3,2,1.6,80.7976414013114,55598,10,2908640,0.54524303461327,10819,1267.67943540166,8,5,83879,12,4,8,223,397,23,20.5,22,10,166,51.7,5,4.90000009536743,5625852,0.701030117301697
"Azerbaijan",80,5.212,58.5604,447,7,3.1,3460,0.7843,6,2.56,9,11,63,1795448,18.8698825324988,98,87.9,86.2,94.3,77,61,42.0999984741211,28.6000003814697,74.099998474121,70.3000030517578,71.1999969482422,66.599998474121,0.0644051715724466,1600,0.0549968997373941,21828608900,0.300582141081835,9187608800,61.6195837593782,110.905363353238,28.9,6706,50,10,6,5.56231871987924,115.387592397682,1.2769828044979,22.0364351040663,72.4012461760545,50.246199834908,0,24,3,28.7,1.21,89.758173164892,1299,10521,4353539,0.719863327512507,129,13.5250989665042,3,2,86600,7,4,7,175,277,87,8.5,5,27,195,39.8,6.09999990463257,4.30000019073486,5184284,1.74723742614178
"Bangladesh",109,4.694,83.49,2666,6,16.8,1281,77.72,0,6.89,6,9,172,1086468,0.685414412245035,89,59.6,86.2,86.3,227,9.6,50.5999984741211,66.1999969482422,86.599998474121,84,73.599998474121,70.9000015258789,0.458409570658519,220,8.1252354457943,28433794794,17.0039569437578,41635060882,37.6432410460084,75.924891634777,32.1,101722,5900,11,6,4.95581421366577,1222.07507874318,1.21437738484915,29.9764096764575,65.0677761098767,49.5078603598737,0,13.4,8,0.9,1.3,68.5714267549061,32472,10865,105761094,0.0732683236553304,136,0.854929131309716,9,6,148460,21,5,7,269,1442,428.9,244,19.5,28.3,302,32.5,5,3.90000009536743,53316419,3.51721498276979
"Belarus",59,5.813,18.84,618,7,0.8,1460,10224.1025,6,5.07,8,10,43,4514315,48.5013390657042,99,94.3,99.7,99.9,58,59.02,34.5999984741211,44.2999992370605,70.599998474121,63.4000015258789,66.4000015258789,56.2000007629395,0.0071701055614366,13900,1.09263931209272,36358313500,1.23071962620048,40787869800,83.1121614495298,122.501138584571,3.5,442,5,10,6,13.9793684954205,46.6709378542211,0.0422475713930697,15.7691942526342,70.2514372519452,53.520264678769,0,16,2,64.5,1.06,79.3375363193466,925,4302,2246568,-1.62981905253562,422,44.5617740232313,5,2,207600,7,4,7,115,275,112,4,9,15,183,51.8,4.40000009536743,7.30000019073486,7223432,0.568030749146644
"Belgium",19,6.937,8.3764,847,8,5,1240,0.753730736717402,5,4.66,4,4,41,4694435,42.1236367617157,96,99.5,100,100,9,85,28.5,34.2000007629395,72.8000030517578,59.2999992370605,67.6999969482422,53.2999992370605,0.012833732093129,7800,0.0292657800710139,4.57769e+11,1.64101675736015,4.48081e+11,86.0456670334158,114.269957521343,3.4,432,9,12,6,18.0048461107743,370.71357331572,0.378347065020028,16.8883896257385,65.1067642634872,50.8627937092843,0,10,8,96.4,1.9,80.26981296211,29179,75,244934,-1.52826894724713,9589,854.23814456161,3,4,30530,11,6,6,212,505,88,64,4,9,160,58.4,8.39999961853027,8.5,10980273,0.421294691898473
"Benin",155,3.34,84.59,1039,7,55.8,1052,494.415,0,1.54,7,7,162,195662,1.84595325632977,63,19.6,77.8,85.2,61,5.3,57.2999992370605,55.7999992370605,78.5,78.1999969482422,73.6999969482422,72.9000015258789,2.04631550698493,49,0.0151957677904726,901431052.5,1.43490230508734e-09,9531138622,27.2369823508606,101.711069662654,65.7,24258,1600,12,6,2.88945152711492,93.9915040794608,2.6410767577434,42.4697612356185,54.6407872372666,50.1471437135997,0,13,4,0.6,1.03,86.572889501582,415,340,5986659,1.88623277771109,23,2.17012209861752,7,6,114760,55,6,7,111,750,90,120,12,25,270,63.3,1,1.10000002384186,4611823,3.62952483302384
"Bolivia",51,5.89,71.147,1146,1,64.4,1440,6.91,7,7.28,7,6,155,876111,8.07649462593974,95,50.2,90,96.7,120,39.02,49.7000007629395,59.2999992370605,82.4000015258789,80.9000015258789,74.4000015258789,72.599998474121,0.681026296672926,150,0.0365447377477246,12881566124,0.0168245332837385,10560100408,50.4559446230599,96.3372482776015,31.7,7756,540,12,6,6.33941643193114,9.74973414566602,1.54527839862755,32.891168027077,60.7694155409919,49.9143855638675,39,12,7,15.1,0.7,79.6044503228818,763,599,3368503,0.264829868146324,136,12.8764869383662,15,0,1098580,42,6,6,275,591,42,91,50,22,1025,83.7,3.29999995231628,2.20000004768372,7193384,2.15056763534904
"Bosnia and Herzegovina",96,4.949,9.1124,1028,3,15.2,1260,1.4742,6,9.6,8,8,82,849216,22.2031998987645,89,94.8,99.9,99.7,42,60.8,25.7999992370605,39.4000015258789,67.099998474121,57.4000015258789,54.5,45.4000015258789,0.0150459219809053,6600,3.85319306641885,4691594861,2.51883839183035,8966115999,88.2071217383139,91.2789502884636,5.4,182,4,11,6,14.970659223157,74.5616015625,-0.156496090680957,13.6465653138109,71.3827754630321,50.2254061108238,8.1,15,7,39.7,1.51,59.5818812783835,6890,21845,2305192,-0.371555526918872,137,35.8868532049579,12,7,51210,45,5,8,179,595,125,24,67,16,407,23.3,29.7999992370605,26.7000007629395,1512362,0.172196929372765
"Brazil",16,6.983,67.3106,1761,5,4.3,2322.8,2.3534,7,8.7,6,8,111,44128188,21.8419969305116,97,82.7,98.1,100,44,57.6,54.5999984741211,70.599998474121,85.3000030517578,80.599998474121,75,69.6999969482422,0.0846836868138012,1200,0.509501526243729,2.251e+11,2.2355136521546,2.51965e+11,61.9144858539083,138.951490610451,14.4,45682,1400,11,6,7.57532620019252,24.6559519223176,0.886360083057745,23.5270509212977,68.8976228785098,50.8124335584983,63.6,18.2,13.6,52.5,1.27,73.697273759814,7490,977,30019367,-0.896243856945865,14144,68.6342404365945,11.6,2,8515770,9.6,5,7,425.7,731,43.6,31.7,83.6,13.4,2600,69.2,8.69999980926514,5.19999980926514,176058531,1.19350457329445
"Bulgaria",134,4.218,38.5874,608,10,0.8,1375,1.4742,5,5.04,4,5,36,1816952,25.3481097511467,93,86,99.4,99.6,27,55.49,24.8999996185303,34.4000015258789,72,59.2000007629395,68.099998474121,53.4000015258789,0.0160728274179272,6200,0.492752236717018,28794809300,2.73590872504928,34179144700,73.9861179147646,137.706595342242,9.7,604,7,11,7,19.7291103227358,66.5432756079587,-0.568389264052903,13.9787244206191,66.292165256645,51.3993707809748,0,16,8,62.9,1.49,81.0810800361493,11046,1648,1905241,-1.79691479489667,1277,176.715828355099,4,9,111000,14,4,8,110,564,130,11,18,18,424,27,10.8999996185303,12.1999998092651,5318697,-0.124614518194974
"Burkina Faso",152,3.587,109.9036,748,7,44.7,2305,494.4,0,3.72,10,12,149,124595,0.715256910098185,88,19.4,82.1,97.5,54,9.4,71.8000030517578,80.4000015258789,90.6999969482422,89.9000015258789,85,83.3000030517578,2.14895018604794,47,10.0373004121205,840181177.4,55.6220118745732,2695153696,37.0034923472628,71.737469513534,62.2,42048,2700,12,6,2.4108489767413,64.2880043859649,2.91101831662217,45.7938161819544,51.7953348413043,50.4028608922362,0,12,4,2,1.4,85.6507215718284,31894,1853,12484109,1.73724861358408,11,0.625383829325248,3,6,274220,45,6,7,129,446,158,67,13,41,270,41.3,2.29999995231628,3.90000009536743,5105089,5.84079711961751
"Burundi",157,2.905,28.6552,1274,8,13.4,2905,1546.6867,0,4.83,9,9,151,21669,0.206710985817465,94,48,75.8,91.1,126,1.38,67.5,61.2000007629395,83,82.099998474121,83.6999969482422,82.6999969482422,4.431196561056,23,10.8967185534722,86858467.49,8.0206839023275,679697411.8,41.8473866384861,30.4620103575855,55.8,25172,3500,13,7,2.46883106557725,421.217289719626,3.29780374786576,44.6421512342769,52.8890177001459,50.6005532104511,0,14,5,3.9,1.53,101.583438582118,52936,72499,9544689,2.97082032871555,6,0.554689623421215,3,2,27830,25,6,7,99,832,158,23,5,32,274,40.3,7.5,6.30000019073486,1272171,5.78576486302999
"Cambodia",145,3.819,51.0532,1904,5,139.5,795,4037.5,5,2.96,8,9,133,438100,2.84327831742305,94,40.8,73.4,97.8,390,9,73.099998474121,72.3000030517578,88.1999969482422,86.599998474121,85,82.5,0.496150656368881,200,0.127425627243727,10734589145,0.249889365873582,17500115321,28.1062128688805,155.111508300413,26.3,9461,620,12,6,4.01498264368218,86.8351234987537,1.64159612591134,31.8041019469034,64.1809154094144,51.2331897368343,29.3,20,7,0,1.34,90.8775962297047,63,13062,12183722,1.39656536448198,46,3.00101721435666,11,11,181040,40,6,6,652,483,179,56,101,22,173,21,0.400000005960464,0.400000005960464,3144414,2.59673266030386
"Cameroon",133,4.252,106.853,1604,7,34.3,1379,494.415,1,5.92,11,12,168,1051356,4.6074453543052,80,45.6,75.4,94.8,220,11,44.4000015258789,51,77.099998474121,76.9000015258789,71.4000015258789,70.4000015258789,2.98936840115219,33,0.432508182262942,5924764115,3.08543177088965,7464020279,40.7151501712843,75.6851330964976,58.6,47365,5100,12,6,3.21852434640405,48.1754437181359,2.49811030629492,42.7602775811757,54.0211980724203,50.0048566254779,0,15,5,5.4,1.24,83.2249658388658,226489,10761,10516806,1.27353540054372,38,1.66864166508658,5,6,475440,44,6,7,151,800,64,86,15,23,630,48.8,5.09999990463257,3.70000004768372,12256208,3.56098212517996
"Canada",5,7.427,10.0832,537,8,0.4,1680,1.10610494395711,8,9.41,3,3,13,16571600,46.6480647904677,95,99.8,99.8,100,5.2,87.12,63.9000015258789,63.9000015258789,81.8000030517578,70.8000030517578,78.1999969482422,66.099998474121,0.0116102383996103,8600,0.711573152514862,4.74627e+11,0.0220480700541482,5.07026e+11,74.0737705436581,82.984440248557,4.4,1636,28,12,6,15.6909477359273,3.90832791738284,1.08097771689146,16.0369006305055,68.2721516335672,50.4024680597642,100,12,6,0,1.17,86.7231622588955,149163,95,6521667,0.115620092295238,43004,1210.00261702036,2,9,9984670,8,6,6,249,570,142,16.5,5.5,8,131,21.1,6.5,7.30000019073486,29018752,1.29922049213285
"Central African Republic",148,3.678,93.2172,1343,7,226,5490,494.415,0,7.34,9,17,185,800,0.016988012621244,49,21.7,68.4,89.6,375,4.03,56.9000015258789,67.599998474121,85.5,85,79.1999969482422,78.6999969482422,3.67139830314536,27,31.7287441410397,90937305.67,0.126069138118552,507131941.6,40.3467390163183,31.3598712988164,93.5,15049,1400,12,6,3.8685839982216,7.71183023532056,1.96828338590843,39.3882916943848,56.7431243073936,50.7134002009859,0,15,5,2.6,1.69,85.4117629107307,7694,410787,2894168,1.53927185703331,1,0.208146175230772,10,6,622980,56,6,7,200,660,102,75,22,46,483,73.3,7.69999980926514,7.09999990463257,1910148,2.62182912242243
"Chad",149,3.667,137.173,322,7,150.6,6615,494.414952864937,0,5.77,8,11,182,23580,0.178485651434024,54,12,50.8,71.8,159,2.5,56,56.7000007629395,79.1999969482422,79.1999969482422,71.9000015258789,71.599998474121,5.74455749737045,17,29.7606607939468,2709716242,5.65946980070137,1554334709,49.9053617300449,39.7509799679755,86.7,51181,5400,12,6,2.4622116363276,10.7902263341804,3.3015950889173,47.9839815153441,49.5538068483283,49.9454959070227,0,13,6,2.1,0.9,80.8080839218018,452897,14855,10551569,3.15489956278666,2,0.147198954769662,9,6,1284000,54,6,7,221,743,67,44,60,70,732,63.5,7.5,6.5,3035484,3.81320036147377
"Chile",27,6.67,48.1088,1522,8,0.7,910,570.3482,6,11.19,5,5,48,3407534,19.1726705268946,94,99,99,99.7,16,72.35,31.8999996185303,44.4000015258789,80,75,67.8000030517578,61.9000015258789,0.040448065544907,2500,3.6196273368718,75674897797,0.442694507100181,72166943720,50.8653800722891,133.255628761386,7.2,1687,53,12,6,10.6982140668561,23.8895528369996,1.05729358069562,20.4643992531068,68.837386680037,50.6693005834097,8.8,13,6,44.7,1.52,65.8666687011718,1773,579,1890656,-0.628910341316603,2267,127.627374456071,7,4,756096,7,6,6,152,480,30,28.5,5.5,15,291,27.9,7.30000019073486,5.80000019073486,15871991,1.26006097657966
"China",84,5.14,7.3478,645,10,0.9,823,6.1434,6,8.64,8,5,83,249430000,17.8958884123549,99,75.4,94.8,97.5,68,49.3,53.9000015258789,58.5999984741211,84.3000030517578,78.4000015258789,77.599998474121,71.4000015258789,0.0437977699701949,2300,8.73121761108649,2.34322e+12,0.095760137631123,1.96311e+12,66.5371885200014,92.2734908227189,9.8,166402,4600,12,7,9.18268084838188,145.317355990401,0.506311591779847,17.2048256929075,73.6124934587106,48.4849111605221,0,22,4,33.2,1.17,81.6326514724293,301052,210730,621970693,-2.18152204356208,9602,7.03819625147515,11,4,9562911,9,5,6,244.3,452.8,143.2,19.5,31.4,21,261,68.5,3.90000009536743,5.40000009536743,742299307,2.81543653576473
"Colombia",33,6.477,51.6738,3240,9,7.5,2355,2001.781,7,7.26,4,6,52,7180937,14.6760272788069,91,81.1,91.3,96.8,33,52.57,39.7000007629395,52.5,82.5,79.6999969482422,71,67.5,0.130029565815804,770,2.67374390370586,54794812058,2.97502625663628,64028791861,56.9323391610074,113.082075334767,14.1,10595,490,11,6,6.76025074222047,43.074712032447,0.944004217769977,24.7015043064344,68.5382449513451,50.7536744116247,87,10,6,0,1.08,70.2634907707297,213,103150,11392990,-0.215409200163505,2253,47.14237980048,8,12,1141749,11,5,6,73,1288,102,16,11,14,239,77.3,13.3000001907349,7.69999980926514,36398403,1.30968960784364
"Congo (Brazzaville)",139,3.989,119.234,1646,7,52.7,3795,494.4149,2,5.91,11,10,174,16300,0.35756638998779,80,14.9,76.3,95.8,381,7.11,44.2999992370605,44.7000007629395,74.099998474121,73,72,70.6999969482422,2.30019478144591,43,1.48447475588359,9550575321,0.296759824788133,5324282335,54.0225778610632,108.149574188884,34.4,5556,750,12,6,3.64828826525062,13.1916896046852,2.48634721343358,42.610481509056,53.7412302256934,49.9827079562491,0,12,6,9.4,1.13,93.8356164383562,54842,14497,1578674,1.27805902475225,7,1.55384218557226,11,6,342000,49,6,7,164,560,135,55,53,50,602,55,6.90000009536743,6.09999990463257,2926288,3.14430841913831
