"Country","Happiness_Rank","Happiness_Score","Adolescent fertility rate (births per 1,000 women ages 15-19)","Average precipitation in depth (mm per year)","Business extent of disclosure index (0=less to 10=more)","Cost of business start-up procedures (% of GNI per capita)","Cost to export (US$ per container)","DEC alternative conversion factor (LCU per US$)","Depth of credit information index (0=low to 8=high)","Diabetes prevalence (% of pop. ages 20 to 79)","Documents to export (number)","Documents to import (number)","Ease of doing business index (1=most business-friendly regulations)","Fixed telephone subscriptions","Fixed telephone subscriptions (per 100 people)","Immunization, measles (% of children ages 12-23 months)","Improved sanitation facilities (% of pop.)","Improved water source (% of pop.)","Improved water source, urban (% of urban pop.)","Incidence of tuberculosis (per 100,000 people)","Internet users (per 100 people)","Labor force particip. rate for ages 15-24, female (%)","Labor force particip. rate for ages 15-24, male (%)","Labor force particip. rate, male (% of male pop. ages 15-64)","Labor force particip. rate, male (% of male pop. ages 15+)","Labor force particip. rate, total (% of ttl. pop. ages 15-64)","Labor force particip. rate, total (% of ttl. pop. ages 15+)","Lifetime risk of maternal death (%)","Lifetime risk of maternal death (1 in: rate varies by country)","Merchandies imports by economy, residual (%of ttl.)","Merchandise exports by economy (current US$)","Merchandise exports by economy, residual (% of ttl.)","Merchandise imports by economy (current US$)","Merchandise imports from high-income economies (%of ttl.)","Mobile cellular subscriptions (per 100 people)","Mortality rate, infant (per 1,000 live births)","Number of infant deaths","Number of maternal deaths","Official entrance age to lower secondary education (years)","Official entrance age to primary education (years)","Population ages 65 and above (% of ttl.)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, ages 0-14 (% of ttl.)","Population, ages 15-64 (% of ttl.)","Population, female (% of ttl.)","Private credit bureau coverage (% of adults)","Procedures to build a warehouse (number)","Procedures to register property (number)","Public credit registry coverage (% of adults)","Pump price for gasoline (US$ per liter)","Ratio of female to male labor force particip. rate (%)","Refugee pop. by country or territory of asylum","Refugee pop. by country or territory of origin","Rural pop.","Rural pop. growth (annual %)","Secure Internet servers","Secure Internet servers (per 1 million people)","Start-up procedures to register a business (number)","Strength of legal rights index (0=weak to 12=strong)","Surface area (sq. km)","Tax payments (number)","Theoretical duration of primary education (years)","Theoretical duration of secondary education (years)","Time required to build a warehouse (days)","Time required to enforce a contract (days)","Time required to get electricity (days)","Time required to register property (days)","Time required to start a business (days)","Time to export (days)","Time to prepare and pay taxes (hours)","Total tax rate (% of commercial profits)","Unemp., female (% of female labor force)","Unemp., male (% of male labor force)","Urban pop.","Urban pop. growth (annual %)"
"Japan",46,5.987,4.1584,1668,7,7.5,829.3,105.944781034025,6,5.12,3,5,30,63610245,50.0868828085157,98,100,100,100,18,90.58,43.5,42.0999984741211,84.6999969482422,70.099998474121,75.099998474121,59,0.00759089647579449,13200,0.0072155413875261,6.9019e+11,0.215281919519265,8.12206e+11,57.869612603185,120.232998305005,2.1,2218,57,12,6,25.7054221977529,348.726684222076,-0.162550165733791,12.9392124413157,61.3553653609314,51.3501682927038,100,12,6,0,1.38,69.472185196863,2560,263,8872528,-7.48221937096803,115904,911.683780139981,8,4,377962,14,6,6,197,360,97.7,13,10.2,11,330,51.3,3.40000009536743,3.90000009536743,118259272,0.408843226044034
"Jordan",82,5.192,23.7632,111,4,21.4,825,0.71,0,11.45,5,7,107,375483,5.0032299276784,98,98.6,96.9,97.8,5.5,44,10.5,39.7999992370605,70,66.9000015258789,43.9000015258789,41.7999992370605,0.211368656102752,470,0.47663578898871,8379263521,9.80905561467567,22726952394,66.1172840141133,147.804955007534,15.8,3257,120,12,6,3.7747285190848,74.419914395134,2.25003752532381,35.8488571392742,60.376414341641,48.7472025326577,0,16,7,2.2,1.27,23.6173390588384,2771502,1716,1093657,0.834445345247514,201,30.4222794006357,7,0,89320,25,6,6,63,689,50,21,12,12,151,29,19.5,9.19999980926514,5513343,2.53323974056616
"Kazakhstan",54,5.855,28.586,250,7,0.5,5285,179.1917,7,5.01,10,12,53,4338200,26.1229112419565,99,97.5,92.9,99.4,99,54.89,44.2000007629395,50.5,82.8000030517578,78.1999969482422,78.9000015258789,72.6999969482422,0.0353457842337509,2800,0.000366872499014062,55391357123,0.0230824594190013,48178365393,58.7652217155191,168.622904317115,13.5,5375,47,11,7,6.73203151277592,6.40408600955662,1.47906871521046,26.1308486985757,67.1371197886484,51.7158416016559,51.7,25,4,0,0.81,86.8286498410217,633,2212,8075744,1.63118801953543,250,14.4599684737983,6,3,2724902,6,4,7,154,370,88,11,10,79,188,28.9,4.90000009536743,3.20000004768372,9213367,1.34592242619391
"Kenya",125,4.419,91.531,630,3,42.7,2255,87.9222,0,4.54,8,9,129,179990,0.395183065552657,79,30.1,63.1,81.6,246,43.4,35.5,43.0999984741211,73,72.5,68,67.4000015258789,2.46034599373976,41,0.0440143758437232,6658027685,0.607132691957995,23011847257,39.7471166578984,73.8432480759004,36.6,54806,8200,12,6,2.75660104989831,78.8269722739572,2.64412139590371,42.1251552734876,55.1182436766141,50.0125324363861,4.9,15,9,0,1.21,86.0689676219019,551352,8556,33559306,2.08820549821105,350,7.80142771922608,11,7,580370,30,6,6,131,465,145,72,30,26,201.5,37.1,10.6000003814697,8,11304277,4.31292686705993
"Kuwait",39,6.295,10.1472,121,4,2,1085,0.2846,6,23.13,7,10,100,494000,14.1979685408656,94,100,99,99,21,78.7,24.2999992370605,42.7000007629395,85.1999969482422,83.3000030517578,70.4000015258789,68.5,0.00997497866366763,10000,0.032122860204241,92036927577,-5.6857631461093e-10,31647809152,67.7366437296579,218.430285244086,7.7,544,3,11,6,1.94627351476277,210.612850729517,4.3408509000704,22.4799307030069,75.5737957822303,43.8435637966375,32,22,8,10.9,0.22,52.5810295707261,614,994,62827,3.38977097152716,746,198.76790543124,12,2,17820,12,5,7,216,566,64,49,31,15,98,12.8,2.40000009536743,3.09999990463257,3690294,4.35712153809541
"Kyrgyzstan",77,5.286,39.9964,533,7,2.3,4760,53.6541,5,6.3,9,11,67,443095,7.87722343851528,96,93.2,89.2,96.7,142,28.3,37.2999992370605,58.7999992370605,83,80,71.1999969482422,67.8000030517578,0.264281600430643,380,-3.05143852678381e-09,1128115420,11.5118177522031,10597304040,27.7589398674707,134.460868104352,20.1,3494,120,11,7,4.23208776345197,30.4181438998957,1.98382797777331,31.049707740942,64.7182044956061,50.5321105062156,38.2,11,3,0,0.94,70.3749990463256,482,2437,3758100,1.82561586519594,53,9.08436460868671,4,8,199949,51,4,7,142,410,125,5,10,63,225,29,9.10000038146973,7.30000019073486,2076100,2.27085746781448
"Laos",99,4.876,64.541,1834,6,5.3,1950,7860.1375,0,5.03,10,10,139,920756,13.3557138294234,87,70.5,75.5,85.6,189,14.26,67.9000015258789,58.7999992370605,81.3000030517578,79.3000030517578,80.6999969482422,77.8000030517578,0.728084551574893,140,0.773816123237369,4685162224,88.3847651188727,7948457882,10.4390037331327,66.9933325577907,52.3,9111,380,11,6,3.77417667020466,28.9831022530329,1.64767691845082,35.1009672163007,61.1248561134947,50.2578296682762,0,11,4,3.5,1.4,96.2168980018299,0,7482,4177401,-0.070090796650697,14,2.09289462275574,6,6,236800,35,5,7,83,443,134,53,73,23,362,25.8,1.20000004768372,1.60000002384186,2511899,4.57140637703811
"Latvia",89,5.098,13.978,641,5,3.6,600,0.7537,6,4.98,5,5,22,387000,18.9602623277225,95,87.4,99.3,99.8,49,75.83,37.4000015258789,45.2999992370605,78.5,68,75.599998474121,60.9000015258789,0.0278697999039511,3600,0.00194292169580999,14382765500,0.0243875213011017,17612650100,91.2343458182934,124.197067185469,7.2,116,4,13,7,19.2601216274228,32.0043576137643,-1.11397660288086,14.6287186694776,66.1111597030996,54.1718567937129,0,12,5,76.8,1.48,81.1764717102051,183,213,648436,-0.945035885315851,718,360.740392021307,4,9,64490,7,6,6,149,469,107,17.5,12.5,10,193,35,9.30000019073486,10.6999998092651,1341915,-1.19550944627833
"Lebanon",103,4.839,12.6554,661,9,33.4,1080,1507.5,6,14.92,4,7,121,965723,19.4470343223825,79,80.7,99,99,16,74.7,19.1000003814697,42.4000015258789,76.4000015258789,71.1999969482422,51.9000015258789,47.7999992370605,0.0288273700450178,3500,0.419550821232924,3410334074,1.86195886159524,21549585892,64.9192747014718,88.3477845166066,7.3,705,13,12,6,8.13295068366613,444.454936461388,1.17998601933863,24.0565556968377,67.8104936194962,49.6785692903329,0,18,8,20.3,0.96,33.2865193521959,1606709,4272,560617,0.195332788373868,248,54.5441669192267,6,2,10450,20,6,6,244,721,75,25,15,22,183,30.3,11,5,3986157,1.31924956463513
"Liberia",116,4.571,110.5554,2391,4,17.4,1320,1,0,3.79,10,12,180,10040,0.228344098180684,58,16.6,74.7,87.8,308,5.41,34.5,35.5,65.1999969482422,65,62.2999992370605,61.5999984741211,3.6794075197764,27,0.431118726376886,903418303.8,1.28205449451169e-09,12820206262,77.392896600028,73.3534491444261,54.7,8167,1100,12,6,3.020433730599,45.6452865448505,2.36740833674657,42.6117363735325,54.3678298958684,49.6195201969543,0,22,10,1.7,0.91,89.6923065185546,38587,13548,2228701,1.60686389221385,11,2.50195948918175,4,4,111370,33,6,6,74,1280,465,44,4.5,15,143,33.3,3.90000009536743,3.70000004768372,2167853,3.15537719448659
"Lithuania",56,5.833,11.6044,656,7,0.2,750,0.7537,8,3.82,4,5,21,586694,19.5025940011708,93,92,96.6,99.7,62,72.13,28,36.9000015258789,76.3000030517578,67.6999969482422,74,61.2999992370605,0.0151575549424054,6600,0.00990950700521388,32367022200,0.220494488368473,34981558600,89.1765374342125,147.043250860041,3.6,119,3,11,7,18.6047851102476,46.7383007578779,-0.963688184350911,14.4537263122095,66.9414885775429,53.9516620623026,97.7,12,3,28.8,1.57,82.7178766977094,1007,183,980679,-0.868066294425201,606,206.873738403037,3,6,65300,11,4,8,103,300,135,2.5,3.5,10,171,42.4,10.1999998092651,12.5,1948644,-1.01177650863163
"Luxembourg",17,6.946,6.1496,934,6,2,1425,0.753730736717402,0,4.53,5,4,57,266400,49.6310275895603,99,97.6,100,100,6.6,94.67,25.3999996185303,29.5,74.9000015258789,64.3000030517578,68.599998474121,57.4000015258789,0.0159635727384986,6300,0.0474393190197454,19124501900,0.969755975709882,26625171400,89.7076711401002,148.371435331554,1.6,10,1,12,6,13.9523476704763,214.700386100386,2.31292952366768,16.6632229734464,69.3844293560773,49.8868971365841,0,11,7,0,1.52,78.6936175312325,1108,2,56319,-0.644238613412299,1471,2645.33137675921,6,3,2590,23,6,7,157,321,56,26.5,18.5,8,55,20.2,6.90000009536743,5.5,499755,2.65173196473906
"Macedonia",93,5.007,17.8554,619,8,0.6,1376,46.4371,7,9.76,6,8,14,392500,18.6157119454534,93,90.9,99.4,99.8,15,68.06,27.1000003814697,41.2999992370605,77.3000030517578,67.599998474121,64.599998474121,55.4000015258789,0.0118022210714393,8500,0.40597408015508,5108998508,11.0423555535863,7192771231,70.9701979823284,109.100166284551,5.2,127,2,11,6,12.0217283950617,82.300753370341,0.148595744777241,17.1472207166516,70.8310508882867,50.2129719963866,83.7,10,7,36.4,1.49,63.9053280148779,614,1768,891917,0.0370058047266387,159,76.6034327009937,2,6,25710,7,5,8,74,604,101,31,2,12,119,8.3,28.1000003814697,27.7000007629395,1183708,0.232760446513234
"Madagascar",147,3.681,117.494,1513,6,44.8,1195,2414.8117,0,3.73,5,9,166,249080,1.0566791173344,64,11.9,50.6,81.2,235,3.7,77.9000015258789,79.099998474121,91.099998474121,90.3000030517578,89.599998474121,88.4000015258789,1.76159700735155,57,10.5913483418815,2220764041,6.35203606486881,3789010579,41.0355331468371,38.2189102459948,37,29665,3000,11,6,2.81974415690535,40.5151478171193,2.7838697365537,42.0410260382858,55.1392298048089,50.1545093477084,0,15,6,2.6,1.35,95.6810615790971,11,281,15447015,1.81803021283366,22,0.933322071247007,8,1,587295,23,5,7,185,871,450,100,12,22,183,38.1,4.59999990463257,2.5,8124698,4.64629660574526
"Malawi",131,4.292,136.972,1181,4,106.6,2200,424.8958,0,5.59,11,12,144,64247,0.381760355725758,85,40.6,88.4,95.5,227,5.83,64.9000015258789,55.2999992370605,80.9000015258789,81.599998474121,82.599998474121,83,3.52429916716766,28,0.00862380926382134,1017436692,0.701651390801529,1721878657,22.7969514856998,30.4977721980393,45.1,27902,4200,12,6,3.41515040233292,177.081597369538,3.07228772774889,45.3608998917237,51.2239497059433,50.1077761445125,0,13,6,0,1.78,103.553923505034,5874,360,14006983,2.88414061583899,19,1.13804804275802,8,5,118480,35,6,6,153,432,172,69,38,34,174.5,35.2,9,6,2688270,4.05837965726059
"Malaysia",61,5.77,13.3984,2875,10,7.2,525,3.2729,7,17.64,4,4,17,4410200,14.6091665348257,94,96,98.2,100,103,67.5,32.5999984741211,47.7999992370605,79.4000015258789,75.6999969482422,62.7000007629395,59.5999984741211,0.0849359492498722,1200,0.69588487612521,2.34248e+11,0.0388876417301322,2.08961e+11,62.1625830336761,148.829848890429,6.2,3310,210,12,6,5.6735734361723,91.0120133921777,1.47095241053325,25.3709392770769,68.9551604680044,48.3747303745343,78.6,15,8,56.2,0.68,58.7846787238653,99086,468,7771529,-1.28412942168655,2647,88.5225157369924,3,7,330800,13,6,7,79,425,32,13,4,11,133,39.3,2.20000004768372,1.79999995231628,22130468,2.45674502282809
"Mali",138,3.995,175.4438,282,7,78.1,2440,494.415,0,1.6,6,11,142,157137,0.99654197012765,80,24.2,75,94.8,58,7,46.9000015258789,68.099998474121,81.9000015258789,81.4000015258789,67.099998474121,66.099998474121,3.87706201248751,26,29.4309701051461,464362817.9,6.79136199385392,4223212075,30.5322819511748,149.023888354728,75.9,54096,4500,13,7,2.55758186428649,14.0027553085995,2.93342046714661,47.5390877993719,49.9033303363416,49.5346781129042,0,13,5,3.6,1.47,62.5307132330908,15195,139267,10398040,1.65986587731333,22,1.28760222830101,5,6,1240190,35,6,6,124,620,120,29,11,26,270,48.3,11.1999998092651,6.19999980926514,6687982,4.94624463350555
"Mauritania",124,4.436,79.3816,92,6,19.8,1640,303,0,5.22,8,8,176,51432,1.29081578744607,84,39.7,57.9,58.4,111,10.7,22.8999996185303,56.7999992370605,80.1999969482422,79.099998474121,55.0999984741211,54,2.90765622195634,34,8.37760833193396,2393307818,1.49142729823665,3886430540,45.8514785589149,94.1992848711882,66.1,8546,830,12,6,3.19377774978744,3.85138740661686,2.47238250937251,40.2583115533583,56.5479106968542,49.690285606323,0,13,4,4.6,1.53,36.536030563876,49635,34114,1617424,0.964620825192459,10,2.51912964070914,7,2,1030700,49,6,7,104,370,75,49,9,31,734,71.3,29.5,31.5,2352201,3.52250181252557
"Mexico",14,7.187,63.4592,758,8,18.7,1499.3,13.2925,8,12.63,4,4,42,21098743,17.0427114582269,97,85.1,96.1,97.2,21,44.39,34.5999984741211,61.2000007629395,83.3000030517578,79.9000015258789,65,61.5999984741211,0.0937593908646881,1100,1.73075916604352,3.97535e+11,0.991247568390205,4.39975e+11,73.7203907145179,82.5432495674549,11.9,28319,930,12,6,6.30848223499061,64.5005442526814,1.32121763533464,28.0642774052472,65.6272403597622,50.2591046310631,100,10.5,6.8,0,1.03,56.445553958486,1837,10666,26367387,-0.00149046650409893,4277,34.1107116941991,6,8,1964380,6,6,6,86.4,389,78.9,63.7,6.3,12,334,51.8,5,4.90000009536743,99018446,1.67640822347046
"Moldova",52,5.889,23.236,450,7,4.6,1510,14.0356,6,2.52,9,11,49,1218274,35.1961934257435,90,76.4,88.4,96.9,153,46.6,19.2999992370605,23.5,49.4000015258789,45,46.7999992370605,41.2999992370605,0.0325232100543348,3100,0.397522710794618,2303119500,0.116858895076873,5302489500,50.8680403799008,107.995221559031,13.9,618,10,11,7,9.89224868257562,123.843019814047,-0.0608857460994868,15.7867712420869,74.3209800753375,51.9141820182008,8.8,27,5,0,1.21,84.6666632758247,335,2242,1958687,-0.144380266517264,172,48.3635136655044,5,8,33850,21,4,7,276,567,113,5.5,6,23,185,39.7,2.59999990463257,4.19999980926514,1597713,0.0415680422867789
"Mongolia",100,4.874,16.3448,241,6,1.2,2745,1817.93870833,6,7.5,11,12,59,228327,7.92412755538511,98,59.1,64.2,67,170,27,30.8999996185303,41.2999992370605,72.3000030517578,69.8000030517578,66.099998474121,63.2999992370605,0.132944545041227,750,0.00519220430766849,4835624595,95.7420323062976,5872221219,54.2019259119116,105.060985661559,19.9,1432,32,11,6,3.9828569720101,1.87303419243544,1.75759783749282,27.8994842039389,68.117658824051,50.4772548336335,0,17,5,32.7,1.01,81.6618875471017,6,2146,837403,-1.17352243739361,83,28.5236012180609,5,5,1564120,41,5,6,137,374,79,10.5,11,44,148,24.4,4.80000019073486,4.90000009536743,2072468,2.96675770261143
"Morocco",92,5.013,32.0718,346,6,9.2,595,8.4063,6,7.88,4,6,80,2487738,7.42765580618871,99,76.6,85.3,98.7,106,56.8,19.3999996185303,52.5999984741211,78.9000015258789,75.9000015258789,52.7000007629395,50.7000007629395,0.327363391299408,310,0.543746284682976,23599415789,1.70030908640982,45611265950,74.1305750273744,131.71305603822,24.6,17823,890,12,6,6.07918003379773,76.0053842706699,1.39081937925812,27.3273828171719,66.5934371490304,50.6252593694864,21.1,12,8,0,1.38,35.1778659106296,1216,1532,13670584,0.160238517877274,167,4.923174452274,5,2,446550,6,6,6,94,510,62,40,11,10,232,49,10.8999996185303,9.89999961853027,20250619,2.23019284360401
"Mozambique",94,4.971,142.5334,1032,5,13.5,1100,33.6,4,2.82,7,9,128,68763,0.259747893106242,85,20.4,50.9,80.6,551,5.94,70.3000030517578,60.2000007629395,82.599998474121,82.6999969482422,84.3000030517578,84.099998474121,2.65375588654999,38,6.21000497594451,5224202138,1.0571336486385,12785069041,26.7642739941071,69.6718733219917,58.5,60985,5400,13,6,3.33793646125576,34.6095729799842,2.79097018326742,45.5146802597093,51.147383279035,51.202129931369,0,10,6,5.7,1.55,103.143901087618,4536,58,18525030,2.40239452436562,48,1.76365054499006,10,1,799380,37,7,5,130,950,91,40,19,21,230,36.1,25,19.7999992370605,8691246,3.62427668359765
"Myanmar",129,4.307,16.7116,2091,3,131.1,620,984.34574756,0,6.14,8,8,177,526792,0.980644486812272,86,79.5,80.5,92.7,369,2.1,57.2000007629395,57.5999984741211,85.099998474121,82.3000030517578,82,78.599998474121,0.402535082038769,250,0.0598471335483872,22479323355,2.04036151762879,24318170708,25.7793465086441,49.4717581826513,40.7,37267,1700,10,5,5.2417700574239,81.8232972989527,0.85196116019991,28.057395416549,66.7008345260271,51.14927610579,0,14,6,0,1.14,91.251513595803,0,223891,35508458,0.0366205163343163,26,0.486552812435257,12,2,676590,31,5,6,95,1160,98,85,74,20,154.5,32.4,3.59999990463257,3,17928701,2.48666336449149
"Nepal",121,4.514,72.5268,1500,6,32.2,2545,98.2124,0,4.96,11,11,94,838900,2.98320741203823,88,44.2,90.7,91.1,158,15.44,74.599998474121,75.9000015258789,88.6999969482422,87,85.6999969482422,83.1999969482422,0.704186988378942,140,32.0366309777535,917373076.1,10.3709289266272,8493066615,10.510639412613,82.4872887413347,30.5,16885,1600,10,5,5.38751683956158,196.544987792117,1.21317249181108,33.5158598181831,61.0966233422553,51.5377932362354,1,10,3,0,1.31,91.8390822136539,38490,8561,23034809,0.766504972079081,84,2.98139566513589,7,6,147180,34,5,7,86,910,70,5,17,40,334,29.5,2.59999990463257,2.90000009536743,5139915,3.23981291233599
"Netherlands",7,7.378,4.0888,778,4,5,915,0.753730736717402,7,5,4,4,25,7125500,42.4074732377033,96,97.7,100,100,5.8,93.17,71.6999969482422,69,84.4000015258789,70.1999969482422,79.5,64.1999969482422,0.0115850428294797,8600,0.377763470230547,6.56783e+11,1.4833971951162,5.84307e+11,72.8796142267678,116.423407687313,3.3,586,12,12,6,17.7076918334221,500.569735669736,0.295621410637362,16.6988063803576,65.5935017862203,50.3893106600538,79.4,13,5,0,2.15,83.0484355719339,82494,68,1700587,-5.84496174048986,44412,2635.07284808762,4,3,41500,9,6,6,161,514,110,2.5,4,7,123,39,6.59999990463257,7.09999990463257,15153596,1.00887339840225
"Nicaragua",57,5.828,89.6316,2280,1,73.9,1140,25.9589,8,12.45,5,5,123,339629,5.50517411382126,99,67.8,86.9,99.3,58,17.6,32.5999984741211,63.5999984741211,82.599998474121,80.4000015258789,66,63.5999984741211,0.388376029110616,260,0.0856681005380982,5394179892,0.316010783511137,6857382292,46.3540830955007,114.565599263057,19.4,2360,190,12,6,4.95996533371866,49.9743476815689,1.1416431235096,30.5239700008962,64.5160646653851,50.715199903956,40.7,16,9,16.2,1.18,59.3283580319162,280,1587,2498240,0.390998127638523,68,11.3071140204389,6,1,130370,43,6,5,207,519,55,58,13,21,207,63.1,5.30000019073486,5.30000019073486,3515673,1.67849755870225
"Niger",144,3.845,203.604,151,7,76.7,4475,494.415,0,4.18,8,10,164,105300,0.568120447145861,72,10.8,58.1,100,98,1.95,35.5999984741211,80,90.8000030517578,89.5,65.6999969482422,64.6999969482422,4.54164852908545,22,0.0177649508963701,456749704.7,-1.13356558638938e-09,1964129900,44.9821430251584,44.4374857632685,58.4,53439,5400,13,7,2.57288374094264,15.0893881739954,4.02943651655582,50.4087637953203,47.0183524637371,49.6096365920871,0,15,4,1,1.09,44.8044675688504,77830,738,15583614,3.7245004231087,3,0.156955252266852,6,6,1267000,41,6,7,152,545,115,35,15,56,270,47.8,4.59999990463257,5.30000019073486,3530114,5.38679557761047
"Nigeria",78,5.268,111.886,1150,4,33.9,1564,158.55,6,5.27,9,13,170,183290,0.102673750156456,51,29.3,67.6,80.6,322,42.68,34.7999992370605,40.2999992370605,63.7999992370605,63.7999992370605,56.2999992370605,56.2000007629395,4.58328512020479,22,16.8168511019718,93422556078,1.22301211209802,66791173725,41.5056411816021,77.8415471511874,71.5,490812,58000,12,6,2.74991569845399,194.863671398926,2.66048733292991,44.0711792974628,53.1789050040832,49.0890542228062,5.8,16.1,12.1,0.1,0.56,75.7053288630821,1239,54537,94165209,1.07487391601523,412,2.32144082862005,8.7,6,923770,59,6,6,106.3,509.8,181.2,69.6,30.8,22.9,907.9,32.4,7.30000019073486,7.59999990463257,83310777,4.48348809050945
"Norway",4,7.522,5.9398,1414,7,0.9,1265,6.30166666666667,6,5.24,4,5,8,1156951,22.7212935621192,94,98.1,100,100,8.1,96.3,58.0999984741211,56,80.099998474121,68.5,78.099998474121,64.8000030517578,0.00886312186387961,11300,0.00425096629841959,1.42845e+11,0.206138316993592,89184284171,81.4266779770478,116.513149057213,2.2,134,3,13,6,16.033698720078,14.0630946351079,1.11300002968414,18.0764262418002,65.8898750381218,49.6832926376805,100,11,1,0,2.27,89.343066807211,47043,13,1016611,-0.236977878025818,9975,1941.99329306577,4,5,385178,4,7,6,110.5,280,66,3,5,8,83,40.4,3.29999995231628,3.59999990463257,4119864,1.44894071618608
"Oman",22,6.853,8.5776,125,8,2.4,765,0.3845,6,14.49,7,8,77,375196,9.55550145014939,99,96.7,93.4,95.5,9.6,70.22,25.3999996185303,58.7999992370605,85.1999969482422,83.1999969482422,68.5,66.3000030517578,0.0565004825987592,1800,-4.50045852196319e-09,53849338454,2.18432666244617,36682968777,74.173121347562,157.753256596473,10,812,14,12,6,2.53136348259715,13.6867754442649,8.08855915954617,21.1093948924672,76.3592416249356,34.2387744074265,0,12,2,20.6,0.31,35.2163465285795,151,29,966753,6.01138927133781,336,79.3190459901743,5,1,309500,14,6,6,157,598,62,16,7,10,68,22.9,14,6.09999990463257,3269304,8.71114867099669
"Pakistan",81,5.194,39.156,494,6,9.6,765,102.893164489796,3,7.93,8,8,136,4897814,2.64556613770583,63,61.8,91.3,94,270,13.8,22.1000003814697,67.1999969482422,85.9000015258789,83,56.5999984741211,54.5,0.727696048656367,140,0.534320834246049,26965607127,1.84152699167929,58962136786,53.8411527503784,73.3321910549828,67.4,359601,10000,10,5,4.4909308899168,240.042919779992,2.10343724180588,35.1889249906371,60.3201441194461,48.626325051723,4.5,10,6,7.3,0.94,29.8795171530849,1505525,315759,114166773,1.38797766404816,342,1.84820621805096,10,3,796100,47,5,7,250.4,993.2,178.3,50,19,20.7,594,32.6,9.30000019073486,4,70877513,3.26674473488944
"Panama",25,6.786,75.3262,2928,4,6.4,665,1,8,8.54,3,3,66,588397,14.9871230817391,90,74.5,94.4,97.7,46,44.92,33.2999992370605,63.2999992370605,86.099998474121,81.6999969482422,70,65.5,0.247799720921378,400,25.9103581034863,810720342,3.92646222758772,13592488305,47.4165505783748,158.054282495466,15.1,1141,73,12,6,7.44342326572351,52.0249529190207,1.61218773355267,27.4760280126747,65.0805487216017,49.8499690371257,63,16,7,0,0.96,60.097919593836,2271,89,1303669,0.731998818625284,451,116.611743655843,5,7,75420,52,6,6,98,686,35,22.5,6,10,417,37.2,5.59999990463257,3.59999990463257,2563866,2.06273317272777
"Paraguay",53,5.878,57.9838,1130,6,40,1850,4462.2361,8,7,7,9,95,371902,5.37618724701229,90,87.8,96.6,99.7,43,43,46.5999984741211,73.599998474121,88.099998474121,84.8000030517578,73.599998474121,70.4000015258789,0.380226409042291,260,0.00976254094966235,9652957978,0.079394409645901,12428838007,39.8361022680598,105.604533030992,18.1,2468,190,12,6,5.85805334682026,16.4926201862572,1.33429161062361,30.570721057157,63.5712255960228,49.2479379682742,45.5,12,6,22.8,1.59,65.9198107478372,153,94,2659274,0.739772852511517,158,24.1128677555712,7,2,406752,20,6,6,120,591,67,46,35,29,378,35,5.59999990463257,3.79999995231628,3893244,1.74241790939224
